Data,classes,[beforeTest, beforeTestInterfaceAsField, beforetest2, beforeSubfolder2, afterAliasOfInt, afterRenderingOptionSlice, afterparserRenderingOption, afterMyType, afterBar, afterFoo, afterAlias, afterClassDiagramOptions, afterClassParser, afterField, afterFunction, afterLineStringBuilder, afterRenderingOptions, afterStruct, afterAliasSlice, afterRenderingOption, afterTest, afterTestInterfaceAsField, aftertest2, afterSubfolder2, afterSubfolderInterface, aftertest, afterTestComplicatedAlias, aftermyInt, afterDuration, afterBuilder, beforeBar, beforeFoo, beforeAlias, beforeClassDiagramOptions, beforeClassParser, beforeField, beforeFunction, beforeLineStringBuilder, beforeRenderingOptions, beforeStruct, beforeAliasSlice, beforeRenderingOption, beforeAbstractInterface, beforeImplementsAbstractInterface, beforeAliasOfInt, beforeRenderingOptionSlice, beforeparserRenderingOption, beforeMyType, beforeSubfolderInterface, beforetest, beforeTestComplicatedAlias, beforemyInt, beforeDuration, beforeBuilder, afterAbstractInterface, afterImplementsAbstractInterface]
beforeAliasSlice,concrete_deps_count,0
beforeAliasSlice,afferent_count,0
beforeAliasSlice,efferent_count,0
beforeAliasSlice,instability_class,0
beforeRenderingOption,abstracts_deps_count,0
beforeRenderingOption,concrete_deps_count,0
beforeRenderingOption,afferent_count,0
beforeRenderingOption,efferent_count,0
beforeRenderingOption,instability_class,0
beforeAbstractInterface,abstracts_deps_count,0
beforeAbstractInterface,concrete_deps_count,0
beforeAbstractInterface,afferent_count,1
beforeAbstractInterface,efferent_count,0
beforeAbstractInterface,instability_class,0.0
Data,composition,beforeImplementsAbstractInterface --> beforeAliasOfInt
Data,inheritance,beforeImplementsAbstractInterface --> beforeAbstractInterface
beforeImplementsAbstractInterface,abstracts_deps_count,0
beforeImplementsAbstractInterface,concrete_deps_count,1
beforeImplementsAbstractInterface,afferent_count,0
beforeImplementsAbstractInterface,efferent_count,2
beforeImplementsAbstractInterface,instability_class,1.0
beforeAliasOfInt,abstracts_deps_count,0
beforeAliasOfInt,concrete_deps_count,0
beforeAliasOfInt,afferent_count,1
beforeAliasOfInt,efferent_count,0
beforeAliasOfInt,instability_class,0.0
beforeRenderingOptionSlice,abstracts_deps_count,0
beforeRenderingOptionSlice,concrete_deps_count,0
beforeRenderingOptionSlice,afferent_count,0
beforeRenderingOptionSlice,efferent_count,0
beforeRenderingOptionSlice,instability_class,0
beforeparserRenderingOption,abstracts_deps_count,0
beforeparserRenderingOption,concrete_deps_count,0
beforeparserRenderingOption,afferent_count,0
beforeparserRenderingOption,efferent_count,0
beforeparserRenderingOption,instability_class,0
Data,composition,beforeMyType --> beforeDuration
beforeMyType,abstracts_deps_count,0
beforeMyType,concrete_deps_count,0
beforeMyType,afferent_count,0
beforeMyType,efferent_count,1
beforeMyType,instability_class,1.0
beforeSubfolderInterface,abstracts_deps_count,0
beforeSubfolderInterface,concrete_deps_count,0
beforeSubfolderInterface,afferent_count,1
beforeSubfolderInterface,efferent_count,0
beforeSubfolderInterface,instability_class,0.0
Data,inheritance,beforetest --> beforetest2
beforetest,abstracts_deps_count,0
beforetest,concrete_deps_count,0
beforetest,afferent_count,0
beforetest,efferent_count,1
beforetest,instability_class,1.0
beforeTestComplicatedAlias,abstracts_deps_count,0
beforeTestComplicatedAlias,concrete_deps_count,0
beforeTestComplicatedAlias,afferent_count,0
beforeTestComplicatedAlias,efferent_count,0
beforeTestComplicatedAlias,instability_class,0
beforemyInt,abstracts_deps_count,0
beforemyInt,concrete_deps_count,0
beforemyInt,afferent_count,0
beforemyInt,efferent_count,0
beforemyInt,instability_class,0
beforeDuration,abstracts_deps_count,0
beforeDuration,concrete_deps_count,0
beforeDuration,afferent_count,1
beforeDuration,efferent_count,0
beforeDuration,instability_class,0.0
beforeBuilder,abstracts_deps_count,0
beforeBuilder,concrete_deps_count,0
beforeBuilder,afferent_count,1
beforeBuilder,efferent_count,0
beforeBuilder,instability_class,0.0
afterAbstractInterface,abstracts_deps_count,0
afterAbstractInterface,concrete_deps_count,0
afterAbstractInterface,afferent_count,1
afterAbstractInterface,efferent_count,0
afterAbstractInterface,instability_class,0.0
Data,inheritance,afterImplementsAbstractInterface --> afterAbstractInterface
Data,composition,afterImplementsAbstractInterface --> afterAliasOfInt
afterImplementsAbstractInterface,abstracts_deps_count,0
afterImplementsAbstractInterface,concrete_deps_count,1
afterImplementsAbstractInterface,afferent_count,0
afterImplementsAbstractInterface,efferent_count,2
afterImplementsAbstractInterface,instability_class,1.0
delta_classes,derivate_metrics,0
delta_relationships,derivate_metrics,0
delta_nodes,derivate_metrics,0
delta_abstracts,derivate_metrics,0
all_abstractness_before,derivate_metrics,0.0
all_abstractness_after,derivate_metrics,0.0
abstractness_delta,derivate_metrics,0.0
